type,this_url,that_url
full_match,https://github.com/johnpapa/generator-hottowel/commit/72ec2e22ebe5334ad7532a78fc52da0a0a31fced,https://github.com/johnpapa/generator-hottowel/commit/c17092fd4103143a9ddab93c8983ace8bf174396
full_match,https://github.com/jonschlinkert/merge-deep/commit/11e5dd56de8a6aed0b1ed022089dbce6968d82a5,https://github.com/jonschlinkert/merge-deep/commit/e370968581413a2e5ffdbbf7c2f5094e0e0b3861
full_match,https://github.com/jonschlinkert/remarkable/commit/49e24e8f2a431c095ddbb74ecb67cf1cf8f88c47,https://github.com/jonschlinkert/remarkable/commit/6da96c34ca5a3e2ab25ef36a62fe29377bdda9ff
full_match,https://github.com/jpuri/react-draft-wysiwyg/commit/541a76510e8d2629a8d13474d92edbe5431d6727,https://github.com/jpuri/react-draft-wysiwyg/commit/f71fb3ca96f4596135ee739d29dfed7cc7b25b4b
full_match,https://github.com/jquery/jquery/commit/32c50005b1185dc5053106ef665ef257f687d54a,https://github.com/jquery/jquery/commit/c254d308a7d3f1eac4d0b42837804cfffcba4bb2
full_match,https://github.com/juliangruber/brace-expansion/commit/b13381281cead487cbdbfd6a69fb097ea5e456c3,https://github.com/juliangruber/brace-expansion/commit/ed46e5ba619bd938e5b84835fca00eed0adc5585
full_match,https://github.com/knockout/knockout/commit/7e280b2b8a04cc19176b5171263a5c68bda98efb,https://github.com/knockout/knockout/commit/86b06aa8633f9f72b953f512df7471a22689ea14
full_match,https://github.com/linkedin/dustjs/commit/db6d8b91880ce73a065935c4d04b93abd6968b7f,https://github.com/linkedin/dustjs/commit/ddb6523832465d38c9d80189e9de60519ac307c3
full_match,https://github.com/lissy93/web-check/commit/0e4958aa10b2650d32439a799f6fc83a7cd46cef,https://github.com/lissy93/web-check/commit/50a11a5f50eb3ba2f48a86672b1d52038a93f88e
full_match,https://github.com/manuelstofer/json-pointer/commit/47dae1d369a25bd9bdcdbc963b8699b89a882c81,https://github.com/manuelstofer/json-pointer/commit/859c9984b6c407fc2d5a0a7e47c7274daa681941
full_match,https://github.com/mauriciosoares/ss15-this-is-sparta/commit/0a2c4be639038ec1189c357058f214557bec2688,https://github.com/mauriciosoares/ss15-this-is-sparta/commit/ba2f71ad3a46e5949ee0c510b544fa4ea973baaa
partial_match,https://github.com/mintplex-labs/anything-llm/commit/200bd7f0615347ed2efc07903d510e5a208b0afc,https://github.com/mintplex-labs/anything-llm/commit/fa27103d032c58904c49b92ee13fabc19a20a5ce
